,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,roomCount,hasAttic,hasBasement,hasDressingRoom,diningRoomSurface,hasDiningRoom,buildingCondition,buildingConstructionYear,facedeCount,floorCount,streetFacadeWidth,hasLift,floodZoneType,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenSurface,kitchenType,landSurface,hasLivingRoom,livingRoomSurface,hasGarden,gardenSurface,gardenOrientation,parkingCountIndoor,parkingCountOutdoor,hasAirConditioning,hasArmoredDoor,hasVisiophone,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,hasTerrace,terraceSurface,terraceOrientation,epcScore,price,longitude,latitude,error_sum
33039,33039,33039,33039,33039,33039,33039,33039,33039,33039,33039,33039,33039,33039,33039,46351,20174405,2,8,6.0,1.0,24,3060,5100,320.0,-1.0,-1,1,-1,36.0,1,5,1900.0,4.0,2.0,13.0,-1,3,2,-1,-1,-1,23.0,4,2669.0,1,44.0,1,1950.0,0,2.0,2.0,-1,-1,-1,-1,3.0,-1,-1,1,26.0,0,6,875000.0,-1.0,-1.0,1088066.1875
33044,33044,33044,33044,33044,33044,33044,33044,33044,33044,33044,33044,33044,33044,33044,46370,20547544,1,6,2.0,-1.0,24,255,5100,93.0,-1.0,-1,-1,-1,-1.0,-1,0,2018.0,-1.0,-1.0,-1.0,1,0,0,-1,-1,-1,-1.0,7,-1.0,1,35.0,-1,-1.0,0,1.0,1.0,-1,-1,1,-1,1.0,-1,-1,1,-1.0,0,4,425000.0,-1.0,-1.0,116738.0625
33061,33061,33061,33061,33061,33061,33061,33061,33061,33061,33061,33061,33061,33061,33061,46389,20588920,1,5,5.0,1.0,24,676,5100,260.0,-1.0,-1,-1,1,-1.0,-1,3,2026.0,3.0,4.0,-1.0,1,1,5,1,1,-1,-1.0,6,-1.0,-1,-1.0,-1,-1.0,0,3.0,9.0,-1,-1,1,-1,2.0,-1,-1,1,49.0,0,7,749900.0,-1.0,-1.0,278488.3125
33064,33064,33064,33064,33064,33064,33064,33064,33064,33064,33064,33064,33064,33064,33064,46393,20513253,2,12,4.0,-1.0,24,3060,5100,165.0,-1.0,-1,-1,-1,-1.0,-1,0,-1.0,4.0,-1.0,-1.0,-1,0,0,-1,-1,-1,-1.0,0,-1.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,0,2,499000.0,4.8633172,50.421206,194966.1875
33065,33065,33065,33065,33065,33065,33065,33065,33065,33065,33065,33065,33065,33065,33065,46395,20611278,1,1,2.0,1.0,24,413,5100,110.0,-1.0,-1,1,-1,-1.0,-1,0,-1.0,3.0,3.0,-1.0,1,0,1,-1,-1,-1,18.0,0,-1.0,1,36.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,1,-1.0,-1,-1,1,5.0,0,1,650000.0,-1.0,-1.0,392614.109375
33077,33077,33077,33077,33077,33077,33077,33077,33077,33077,33077,33077,33077,33077,33077,46412,20563786,2,2,3.0,1.0,24,3060,5100,110.0,-1.0,-1,1,-1,-1.0,-1,0,-1.0,3.0,-1.0,-1.0,-1,0,1,-1,-1,-1,13.0,0,542.0,1,40.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,2.0,-1,-1,1,-1.0,0,5,349000.0,4.87899,50.40980159999999,123726.90625
33084,33084,33084,33084,33084,33084,33084,33084,33084,33084,33084,33084,33084,33084,33084,46424,20653152,2,12,4.0,1.0,24,676,5100,178.0,-1.0,-1,-1,-1,-1.0,-1,1,1981.0,4.0,1.0,-1.0,-1,0,1,-1,-1,-1,-1.0,2,338.0,-1,-1.0,-1,-1.0,0,1.0,1.0,-1,-1,-1,-1,1.0,-1,-1,1,30.0,0,1,450000.0,4.8720056,50.4592089,121139.09375
33086,33086,33086,33086,33086,33086,33086,33086,33086,33086,33086,33086,33086,33086,33086,46427,20632553,1,1,2.0,1.0,24,255,5100,100.0,-1.0,-1,1,-1,-1.0,-1,1,1967.0,-1.0,10.0,-1.0,1,0,0,-1,-1,-1,-1.0,0,-1.0,1,30.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,1.0,-1,-1,-1,-1.0,0,4,397500.0,4.873386099999999,50.4611545,139824.71875
33098,33098,33098,33098,33098,33098,33098,33098,33098,33098,33098,33098,33098,33098,33098,46439,20649690,2,2,4.0,1.0,24,3063,5100,349.0,-1.0,-1,-1,-1,29.0,1,1,2013.0,4.0,-1.0,-1.0,-1,0,2,-1,-1,-1,-1.0,2,2373.0,1,100.0,-1,-1.0,0,3.0,5.0,-1,-1,-1,-1,2.0,1,1,-1,-1.0,0,4,950000.0,-1.0,-1.0,508040.25
33102,33102,33102,33102,33102,33102,33102,33102,33102,33102,33102,33102,33102,33102,33102,46444,20459790,2,12,3.0,1.0,24,957,5100,135.0,-1.0,1,1,-1,-1.0,-1,1,-1.0,4.0,-1.0,-1.0,-1,0,1,-1,-1,-1,-1.0,1,769.0,-1,-1.0,-1,-1.0,0,2.0,-1.0,-1,-1,-1,-1,1.0,-1,1,-1,-1.0,0,3,399000.0,4.8777135,50.40800520000001,108741.6875
33128,33128,33128,33128,33128,33128,33128,33128,33128,33128,33128,33128,33128,33128,33128,46474,20588818,2,2,3.0,1.0,24,3060,5100,136.0,-1.0,-1,1,-1,14.0,1,1,1968.0,4.0,1.0,-1.0,-1,1,2,-1,-1,-1,15.0,1,4011.0,1,20.0,-1,-1.0,0,-1.0,6.0,-1,-1,1,-1,1.0,-1,-1,1,-1.0,5,2,399000.0,-1.0,-1.0,100162.96875
33129,33129,33129,33129,33129,33129,33129,33129,33129,33129,33129,33129,33129,33129,33129,46475,20361712,2,2,4.0,2.0,24,3066,5100,239.0,-1.0,-1,-1,-1,-1.0,-1,3,2022.0,4.0,-1.0,17.0,-1,0,0,-1,1,-1,37.0,3,1800.0,1,63.0,-1,-1.0,0,-1.0,5.0,-1,-1,-1,-1,2.0,1,-1,1,49.0,5,9,730000.0,4.956155799999999,50.4239216,250589.5625
33133,33133,33133,33133,33133,33133,33133,33133,33133,33133,33133,33133,33133,33133,33133,46480,20615757,2,12,4.0,1.0,24,556,5100,200.0,-1.0,1,-1,1,-1.0,-1,3,1966.0,4.0,1.0,-1.0,-1,0,2,-1,-1,-1,10.0,7,700.0,-1,-1.0,1,700.0,6,-1.0,-1.0,-1,-1,-1,1,2.0,-1,-1,1,30.0,5,1,650000.0,-1.0,-1.0,288907.59375
33135,33135,33135,33135,33135,33135,33135,33135,33135,33135,33135,33135,33135,33135,33135,46483,20627518,1,4,3.0,1.0,24,676,5100,174.0,-1.0,-1,1,-1,-1.0,-1,1,1972.0,-1.0,6.0,-1.0,1,0,1,-1,-1,-1,8.0,2,-1.0,1,50.0,-1,-1.0,0,1.0,-1.0,-1,1,1,1,3.0,-1,-1,1,8.0,0,1,565000.0,-1.0,-1.0,206022.9375
33149,33149,33149,33149,33149,33149,33149,33149,33149,33149,33149,33149,33149,33149,33149,46507,20210831,2,2,3.0,1.0,24,3067,5370,110.0,-1.0,-1,-1,-1,-1.0,-1,0,2024.0,3.0,2.0,-1.0,-1,0,1,-1,1,-1,-1.0,2,603.0,1,41.0,1,603.0,5,-1.0,1.0,-1,-1,-1,-1,2.0,-1,-1,-1,-1.0,0,0,250000.0,-1.0,-1.0,-106146.03125
33157,33157,33157,33157,33157,33157,33157,33157,33157,33157,33157,33157,33157,33157,33157,46525,20558280,2,8,7.0,2.0,24,413,5000,320.0,-1.0,-1,1,-1,18.0,1,3,1949.0,4.0,2.0,-1.0,-1,1,1,-1,-1,-1,19.0,2,1258.0,1,42.0,1,500.0,0,1.0,-1.0,-1,-1,-1,-1,3.0,1,-1,1,80.0,0,5,895000.0,-1.0,-1.0,359664.9375
33159,33159,33159,33159,33159,33159,33159,33159,33159,33159,33159,33159,33159,33159,33159,46530,20573811,1,1,3.0,1.0,24,1040,5000,120.0,-1.0,-1,1,-1,-1.0,-1,0,2027.0,4.0,6.0,1.0,1,0,0,1,-1,-1,-1.0,2,-1.0,1,52.0,-1,-1.0,0,1.0,-1.0,-1,-1,1,-1,2.0,-1,-1,1,53.0,0,7,599000.0,4.8539671,50.4672029,188559.03125
33163,33163,33163,33163,33163,33163,33163,33163,33163,33163,33163,33163,33163,33163,33163,46534,20649152,1,1,3.0,2.0,24,413,5000,117.0,-1.0,-1,1,-1,-1.0,-1,3,2024.0,2.0,5.0,-1.0,1,0,1,-1,-1,-1,5.0,2,-1.0,1,36.0,-1,-1.0,0,1.0,-1.0,-1,-1,1,-1,1.0,-1,-1,1,15.0,0,7,286000.0,-1.0,-1.0,-145590.625
33174,33174,33174,33174,33174,33174,33174,33174,33174,33174,33174,33174,33174,33174,33174,46550,20563270,1,1,3.0,2.0,24,413,5000,139.0,-1.0,-1,-1,-1,-1.0,-1,3,-1.0,-1.0,4.0,-1.0,1,0,1,-1,-1,-1,-1.0,2,-1.0,1,55.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,1.0,-1,-1,1,28.0,0,4,282000.0,4.8636344,50.4734279,-121718.96875
33175,33175,33175,33175,33175,33175,33175,33175,33175,33175,33175,33175,33175,33175,33175,46551,20418590,2,12,5.0,2.0,24,3072,5000,214.0,-1.0,1,1,-1,-1.0,-1,0,1951.0,4.0,-1.0,-1.0,-1,0,2,-1,1,-1,-1.0,2,1100.0,1,18.0,1,1121.0,0,1.0,1.0,-1,-1,-1,-1,3.0,-1,1,1,27.0,0,5,385000.0,-1.0,-1.0,-131721.5625
33180,33180,33180,33180,33180,33180,33180,33180,33180,33180,33180,33180,33180,33180,33180,46560,11130643,2,2,5.0,2.0,24,413,5000,285.0,-1.0,-1,-1,-1,-1.0,-1,1,-1.0,3.0,2.0,-1.0,-1,0,0,-1,-1,-1,19.0,3,2913.0,1,51.0,-1,-1.0,0,-1.0,-1.0,-1,-1,1,-1,3.0,1,-1,1,-1.0,0,5,695000.0,-1.0,-1.0,183887.8125
33197,33197,33197,33197,33197,33197,33197,33197,33197,33197,33197,33197,33197,33197,33197,46585,20567756,2,2,3.0,2.0,24,413,5000,325.0,-1.0,-1,1,-1,-1.0,-1,6,2014.0,4.0,-1.0,-1.0,-1,0,0,-1,-1,-1,-1.0,0,1100.0,-1,-1.0,-1,-1.0,0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1.0,0,7,695000.0,-1.0,-1.0,256355.875
